id,bg1,bg2,bg3,bg4,bg5,bg6,bg7,bg8,bg9,bg10,bg11,bg12,bg13,bg14,bg15
153,未明学院商业分析训练营,华泰证券实习,浦发银行实习,小型数据科技公司数据分析实习,课设若干,,,,,,,,,,
154,华夏基金管理有限公司实习,校级：京津冀医保互通的认知调研,招商证券实习生,太平人寿保险有限公司实习,校级：商业保险参与养老保障的研究,,,,,,,,,,
155,华夏基金管理有限公司实习,校级：京津冀医保互通的认知调研,招商证券实习生,太平人寿保险有限公司实习,校级：商业保险参与养老保障的研究,,,,,,,,,,
156,华夏基金管理有限公司实习,校级：京津冀医保互通的认知调研,招商证券实习生,太平人寿保险有限公司实习,校级：商业保险参与养老保障的研究,,,,,,,,,,
157,华夏基金管理有限公司实习,校级：京津冀医保互通的认知调研,招商证券实习生,太平人寿保险有限公司实习,校级：商业保险参与养老保障的研究,,,,,,,,,,
158,华夏基金管理有限公司实习,校级：京津冀医保互通的认知调研,招商证券实习生,太平人寿保险有限公司实习,校级：商业保险参与养老保障的研究,,,,,,,,,,
159,华夏基金管理有限公司实习,校级：京津冀医保互通的认知调研,招商证券实习生,太平人寿保险有限公司实习,校级：商业保险参与养老保障的研究,,,,,,,,,,
160,香港鲍尔太平洋有限公司上海代表处投资部实习生,兴全基金管理有限公司（上海）市场部实习生,校级科研：大学生网络借贷风险及风险规避措施探析,,,,,,,,,,,,
161,香港鲍尔太平洋有限公司上海代表处投资部实习生,兴全基金管理有限公司（上海）市场部实习生,校级科研：大学生网络借贷风险及风险规避措施探析,,,,,,,,,,,,
162,香港鲍尔太平洋有限公司上海代表处投资部实习生,兴全基金管理有限公司（上海）市场部实习生,校级科研：大学生网络借贷风险及风险规避措施探析,,,,,,,,,,,,
163,香港鲍尔太平洋有限公司上海代表处投资部实习生,兴全基金管理有限公司（上海）市场部实习生,校级科研：大学生网络借贷风险及风险规避措施探析,,,,,,,,,,,,
164,香港鲍尔太平洋有限公司上海代表处投资部实习生,兴全基金管理有限公司（上海）市场部实习生,校级科研：大学生网络借贷风险及风险规避措施探析,,,,,,,,,,,,
165,中信证券（北京）营业部,香港汇凯金银投资有限公司（香港）投资部操盘实习生,天津财经大学思维盛宴比赛校级三等奖：互联网金融背景下校园网贷消费者的教育与保护,,,,,,,,,,,,
166,致同会计师事务所,中信信托,,,,,,,,,,,,,
167,致同会计师事务所,中信信托,,,,,,,,,,,,,
168,NO BACKGROUND,,,,,,,,,,,,,,
169,致同会计师事务所,中信信托,,,,,,,,,,,,,
170,致同会计师事务所,中信信托,,,,,,,,,,,,,
171,NO BACKGROUND,,,,,,,,,,,,,,
172,NO BACKGROUND,,,,,,,,,,,,,,
173,NO BACKGROUND,,,,,,,,,,,,,,
174,NO BACKGROUND,,,,,,,,,,,,,,
