,idErr,reasons
585,1516,MISSING BACKGROUND
586,1521,MISSING BACKGROUND
587,1526,MISSING BACKGROUND
588,1527,MISSING BACKGROUND
589,1529,MISSING BACKGROUND
590,1533,MISSING BACKGROUND
591,1534,MISSING BACKGROUND
592,1535,MISSING BACKGROUND
593,1536,MISSING BACKGROUND
594,1537,MISSING BACKGROUND
595,1538,MISSING BACKGROUND
596,1539,MISSING BACKGROUND
597,1540,MISSING BACKGROUND
598,1541,MISSING BACKGROUND
599,1542,MISSING BACKGROUND
600,1543,MISSING BACKGROUND
601,1544,MISSING BACKGROUND
602,1545,MISSING BACKGROUND
603,1546,MISSING BACKGROUND
604,1547,MISSING LANGUAGE
605,1547,MISSING BACKGROUND
606,1548,MISSING BACKGROUND
607,1549,MISSING BACKGROUND
608,1550,MISSING LANGUAGE
609,1550,MISSING BACKGROUND
610,1551,MISSING BACKGROUND
611,1552,MISSING BACKGROUND
612,1553,MISSING LANGUAGE
613,1553,MISSING BACKGROUND
614,1554,MISSING BACKGROUND
615,1555,MISSING BACKGROUND
616,1556,MISSING BACKGROUND
617,1557,MISSING BACKGROUND
618,1558,MISSING BACKGROUND
619,1559,MISSING LANGUAGE
620,1559,MISSING BACKGROUND
621,1560,MISSING BACKGROUND
622,1561,MISSING LANGUAGE
623,1561,MISSING BACKGROUND
624,1562,MISSING BACKGROUND
625,1563,MISSING LANGUAGE
626,1563,MISSING BACKGROUND
627,1564,MISSING LANGUAGE
628,1564,MISSING BACKGROUND
629,1565,MISSING BACKGROUND
630,1566,MISSING LANGUAGE
631,1566,MISSING BACKGROUND
632,1567,MISSING BACKGROUND
633,1568,MISSING BACKGROUND
634,1569,MISSING BACKGROUND
635,1570,MISSING LANGUAGE
636,1570,MISSING BACKGROUND
637,1571,MISSING LANGUAGE
638,1571,MISSING BACKGROUND
639,1572,MISSING BACKGROUND
640,1573,MISSING BACKGROUND
641,1574,MISSING BACKGROUND
642,1575,MISSING LANGUAGE
643,1575,MISSING BACKGROUND
644,1576,MISSING LANGUAGE
645,1576,MISSING BACKGROUND
646,1577,MISSING LANGUAGE
647,1577,MISSING BACKGROUND
648,1578,MISSING BACKGROUND
649,1579,MISSING BACKGROUND
650,1580,MISSING BACKGROUND
651,1581,MISSING BACKGROUND
652,1582,MISSING LANGUAGE
653,1582,MISSING BACKGROUND
654,1583,MISSING BACKGROUND
655,1584,MISSING LANGUAGE
656,1584,MISSING BACKGROUND
657,1585,MISSING LANGUAGE
658,1585,MISSING BACKGROUND
659,1586,MISSING BACKGROUND
660,1587,MISSING BACKGROUND
661,1588,MISSING LANGUAGE
662,1588,MISSING BACKGROUND
663,1589,MISSING BACKGROUND
664,1590,MISSING BACKGROUND
665,1591,MISSING BACKGROUND
666,1592,MISSING LANGUAGE
667,1592,MISSING BACKGROUND
668,1593,MISSING BACKGROUND
669,1594,MISSING BACKGROUND
670,1595,MISSING LANGUAGE
671,1595,MISSING BACKGROUND
672,1596,MISSING BACKGROUND
673,1597,MISSING BACKGROUND
674,1598,MISSING BACKGROUND
675,1599,MISSING LANGUAGE
676,1599,MISSING BACKGROUND
677,1600,MISSING BACKGROUND
678,1601,MISSING LANGUAGE
679,1601,MISSING BACKGROUND
